Bear,Year,Sex,n_pre,n_post,ContTreat,PreORD,PostORD,PreDD,PostDD,Sound
F01,2008,F,3,2,Treatment,31.3,40,12,30,Sound
F04,2008,F,3,3,Treatment,20.3,48.3,15.3,28.7,NoSound
F05,2007,F,2,2,Control,114,29,16,15,Control
F05,2008,F,3,3,Control,45.3,44,16.7,22.7,Control
F07,2007,F,2,3,Treatment,53,40.7,14,22,NoSound
F10,2007,F,5,6,Control,39.2,19.7,22.4,18.5,Control
F10,2008,F,1,2,Treatment,26,41,20,23.5,Sound
F12,2008,F,2,2,Control,28,22.5,10,12.5,Control
F13,2008,F,2,3,Treatment,27,40.3,18.5,35.3,NoSound
F18,2009,F,1,1,Control,26,35,42,10,Control
M05,2007,M,1,1,Control,20,12,10,10,Control
M17,2007,M,3,4,Treatment,13.3,19,10,16.8,Sound
M21,2007,M,3,3,Control,32,17.4,23.3,15.3,Control
M23,2007,M,2,4,Treatment,76,29.5,18,26.5,Sound
M25,2007,M,5,6,Treatment,14,24,11.4,15,NoSound
M28,2007,M,3,3,Treatment,14,29.7,11.3,16.3,Sound
M29,2007,M,1,2,Treatment,14,15,10,15,NoSound
M32,2008,M,2,5,Treatment,55,47.6,16,28.6,NoSound
M32,2007,M,2,4,Treatment,12.5,24.3,12.5,13.8,NoSound
M38,2008,M,2,1,Treatment,12,25,10,20,Sound
M39,2008,M,2,2,Control,33,12,20,10,Control
M39,2008,M,4,5,Treatment,19.75,27.58,11,25.62,Sound
